line,type,level,gate_num,and,nand,or,nor,not,xor,fixed_0,fixed_1,non_fixed
7322,1,2.000000,5,0,0,0,1,4,0,0,1,1,
7324,1,2.000000,5,0,0,0,1,4,0,0,1,1,
6209,2,2.000000,92,17,16,8,0,51,0,14,0,14,
6210,2,2.000000,115,24,32,15,0,44,0,24,0,24,
7326,1,2.000000,18,2,2,5,1,8,0,0,1,1,
6231,2,3.000000,9,0,4,1,0,4,0,2,0,2,
6238,2,3.000000,167,35,48,12,0,72,0,35,0,35,
6221,2,3.000000,125,26,36,9,0,54,0,26,0,26,
7316,1,3.000000,124,9,3,14,9,89,0,2,7,5,
7344,1,4.000000,5,0,0,1,0,4,0,0,1,1,
6357,2,4.000000,14,3,0,3,0,8,0,2,0,2,
6345,2,4.000000,36,6,15,3,0,12,0,3,0,3,
6356,2,4.000000,13,1,5,3,0,4,0,1,0,1,
6348,2,4.000000,114,15,4,3,0,92,0,1,0,1,
6240,2,4.000000,79,10,8,1,4,56,0,7,0,7,
6365,2,4.000000,12,2,5,1,0,4,0,1,0,1,
6256,2,4.000000,99,9,38,0,0,52,0,7,2,5,
6374,2,4.000000,11,1,5,1,0,4,0,1,0,1,
6381,2,4.000000,69,11,27,5,0,26,0,11,0,11,
12140,3,3.500000,10,1,4,0,0,5,0,1,0,1,
6249,2,4.000000,79,10,8,1,5,55,0,7,0,7,
6279,2,5.000000,341,49,28,57,8,199,0,2,0,2,
6313,2,5.000000,377,55,33,58,8,223,0,13,0,13,
6421,2,5.000000,460,75,28,78,8,271,0,19,0,19,
6286,2,5.000000,366,65,29,58,17,197,0,2,0,2,
6300,2,5.000000,407,70,28,69,8,232,0,15,0,15,
6307,2,5.000000,348,57,28,64,8,191,0,10,0,10,
6320,2,5.000000,407,58,36,64,8,241,0,19,0,19,
6325,2,5.000000,402,65,28,63,8,238,0,13,0,13,
6340,2,5.000000,332,49,28,56,8,191,0,2,0,2,
6494,2,5.000000,406,75,29,59,17,226,0,9,0,9,
6380,2,5.000000,11,1,5,1,0,4,0,1,0,1,
7336,1,5.000000,6,1,0,1,0,4,0,0,1,1,
6555,2,5.000000,5,1,0,0,0,4,0,1,0,1,
6377,2,5.000000,11,1,5,1,0,4,0,1,0,1,
6301,2,5.000000,407,70,28,69,8,232,0,15,0,15,
6548,2,5.000000,5,1,0,0,0,4,0,1,0,1,
12244,3,6.500000,341,47,28,67,8,191,0,8,0,8,
12246,3,6.500000,313,43,28,43,8,191,0,4,0,4,
