line,type,level,gate_num,fixed_0,fixed_1,cop0,cop1,c
8720,-2,13.000000,1132,274.000000,0.000000,0.987310,0.012690,-133.522827,
6420,2,4.000000,153,32.000000,0.000000,0.989215,0.010785,-15.654895,
6491,2,5.000000,486,23.000000,0.000000,0.991930,0.008070,-11.314397,
6221,2,3.000000,125,26.000000,0.000000,0.956010,0.043990,-11.856265,
6230,2,3.000000,101,21.000000,0.000000,0.988326,0.011674,-10.254848,
6321,2,6.000000,406,18.000000,0.000000,0.995466,0.004534,-8.918384,
6421,2,5.000000,460,19.000000,0.000000,0.991930,0.008070,-9.346676,
6331,2,6.000000,446,18.000000,0.000000,0.989406,0.010594,-8.809307,
12256,3,6.500000,402,14.000000,0.000000,0.999848,0.000152,-6.997870,
12264,3,6.500000,402,14.000000,0.000000,0.999645,0.000355,-6.995023,
6861,2,10.000000,69,14.000000,0.000000,0.999577,0.000423,-6.994081,
6302,2,6.000000,406,14.000000,0.000000,0.999169,0.000831,-6.988372,
6314,2,6.000000,376,12.000000,0.000000,0.998059,0.001941,-5.976712,
6326,2,6.000000,401,12.000000,0.000000,0.995466,0.004534,-5.945589,
6300,2,5.000000,407,15.000000,0.000000,0.981146,0.018854,-7.217183,
6301,2,5.000000,407,15.000000,0.000000,0.955947,0.044053,-6.839209,
6209,2,2.000000,92,14.000000,0.000000,0.955254,0.044746,-6.373560,
12244,3,6.500000,341,8.000000,0.000000,0.999848,0.000152,-3.998783,
12250,3,6.500000,320,9.000000,0.000000,0.999645,0.000355,-4.496800,
12252,3,6.500000,343,9.000000,0.000000,0.999645,0.000355,-4.496800,
12260,3,6.500000,343,9.000000,0.000000,0.999645,0.000355,-4.496800,
12277,3,6.500000,343,9.000000,0.000000,0.999645,0.000355,-4.496800,
6293,2,5.000000,372,10.000000,0.000000,0.981146,0.018854,-4.811455,
6307,2,5.000000,348,10.000000,0.000000,0.981146,0.018854,-4.811455,
12192,3,6.500000,343,9.000000,0.000000,0.999169,0.000831,-4.492525,
12200,3,6.500000,343,9.000000,0.000000,0.999169,0.000831,-4.492525,
12258,3,6.500000,337,9.000000,0.000000,0.999169,0.000831,-4.492525,
12206,3,6.500000,341,9.000000,0.000000,0.998059,0.001941,-4.482534,
6494,2,5.000000,406,9.000000,0.000000,0.981146,0.018854,-4.330309,
12243,3,6.500000,343,9.000000,0.000000,0.995965,0.004035,-4.463686,
6336,2,5.000000,334,10.000000,0.000000,0.955947,0.044053,-4.559472,
6309,2,6.000000,347,9.000000,0.000000,0.948536,0.051464,-4.036827,
12248,3,6.500000,337,6.000000,0.000000,0.999848,0.000152,-2.999087,
12196,3,6.500000,337,6.000000,0.000000,0.999645,0.000355,-2.997867,
12266,3,6.500000,329,9.000000,0.000000,0.999169,0.000831,-4.492525,
12268,3,6.500000,343,9.000000,0.000000,0.999169,0.000831,-4.492525,
12202,3,6.500000,337,6.000000,0.000000,0.999169,0.000831,-2.995016,
6382,2,5.000000,68,10.000000,0.000000,0.988520,0.011480,-4.885198,
6370,2,5.000000,55,9.000000,0.000000,0.922568,0.077432,-3.803115,
6218,2,3.000000,84,10.000000,0.000000,0.911499,0.088501,-4.114990,
6344,2,6.000000,352,6.000000,0.000000,0.989406,0.010594,-2.936436,
12364,3,8.500000,12,1.000000,0.000000,0.999995,0.000005,-0.499995,
7448,1,7.000000,112,3.000000,0.000000,0.999970,0.000030,-1.499910,
6256,2,4.000000,99,7.000000,2.000000,0.930888,0.069112,-2.154439,
12246,3,6.500000,313,4.000000,0.000000,0.999848,0.000152,-1.999391,
7316,1,3.000000,124,2.000000,7.000000,0.082874,0.917126,-2.085633,
6249,2,4.000000,79,7.000000,0.000000,0.910393,0.089607,-2.872751,
6340,2,5.000000,332,2.000000,0.000000,0.981146,0.018854,-0.962291,
6231,2,3.000000,9,2.000000,0.000000,0.971499,0.028501,-0.942998,
