line,type,level,gate_num,and,nand,or,nor,not,xor,fixed_0,fixed_1,non_fixed
7542,1,12.000000,1139,385,29,223,35,467,0,0,276,276,
6238,2,3.000000,167,35,48,12,0,72,0,35,0,35,
6221,2,3.000000,125,26,36,9,0,54,0,26,0,26,
6210,2,2.000000,115,24,32,15,0,44,0,24,0,24,
6491,2,5.000000,486,86,28,83,8,281,0,23,0,23,
6779,2,8.000000,97,20,28,7,0,42,0,20,0,20,
6421,2,5.000000,460,75,28,78,8,271,0,19,0,19,
6320,2,5.000000,407,58,36,64,8,241,0,19,0,19,
6330,2,5.000000,447,74,28,72,8,265,0,19,0,19,
6300,2,5.000000,407,70,28,69,8,232,0,15,0,15,
6301,2,5.000000,407,70,28,69,8,232,0,15,0,15,
12256,3,6.500000,402,61,28,73,8,232,0,14,0,14,
12264,3,6.500000,402,61,28,73,8,232,0,14,0,14,
6209,2,2.000000,92,17,16,8,0,51,0,14,0,14,
6313,2,5.000000,377,55,33,58,8,223,0,13,0,13,
6325,2,5.000000,402,65,28,63,8,238,0,13,0,13,
6381,2,4.000000,69,11,27,5,0,26,0,11,0,11,
6293,2,5.000000,372,73,29,56,17,197,0,10,0,10,
6307,2,5.000000,348,57,28,64,8,191,0,10,0,10,
6336,2,5.000000,334,57,28,50,8,191,0,10,0,10,
6218,2,3.000000,84,11,12,1,4,56,0,10,0,10,
12250,3,6.500000,320,48,28,45,8,191,0,9,0,9,
12252,3,6.500000,343,48,28,68,8,191,0,9,0,9,
12260,3,6.500000,343,48,28,68,8,191,0,9,0,9,
12277,3,6.500000,343,48,28,68,8,191,0,9,0,9,
12192,3,6.500000,343,48,28,68,8,191,0,9,0,9,
12200,3,6.500000,343,48,28,68,8,191,0,9,0,9,
12258,3,6.500000,337,56,28,54,8,191,0,9,0,9,
12266,3,6.500000,329,56,28,46,8,191,0,9,0,9,
12268,3,6.500000,343,48,28,68,8,191,0,9,0,9,
12206,3,6.500000,341,48,28,66,8,191,0,9,0,9,
12243,3,6.500000,343,48,28,68,8,191,0,9,0,9,
6494,2,5.000000,406,75,29,59,17,226,0,9,0,9,
6309,2,6.000000,347,56,28,64,8,191,0,9,0,9,
6370,2,5.000000,55,6,25,4,0,20,0,9,0,9,
12244,3,6.500000,341,47,28,67,8,191,0,8,0,8,
6343,2,5.000000,353,55,28,59,8,203,0,7,0,7,
11063,3,5.500000,87,8,34,0,0,45,0,0,7,7,
12476,3,3.500000,29,0,0,3,4,22,0,0,7,7,
6249,2,4.000000,79,10,8,1,5,55,0,7,0,7,
12248,3,6.500000,337,45,28,65,8,191,0,6,0,6,
12196,3,6.500000,337,45,28,65,8,191,0,6,0,6,
12202,3,6.500000,337,45,28,65,8,191,0,6,0,6,
7316,1,3.000000,124,9,3,14,9,89,0,2,7,5,
12246,3,6.500000,313,43,28,43,8,191,0,4,0,4,
7448,1,7.000000,112,14,4,2,0,92,0,3,0,3,
6345,2,4.000000,36,6,15,3,0,12,0,3,0,3,
8249,-1,6.000000,18,0,0,3,3,12,0,0,3,3,
6880,2,11.000000,13,2,4,1,0,6,0,2,0,2,
12254,3,6.500000,330,49,28,54,8,191,0,2,0,2,
6357,2,4.000000,14,3,0,3,0,8,0,2,0,2,
6340,2,5.000000,332,49,28,56,8,191,0,2,0,2,
6231,2,3.000000,9,0,4,1,0,4,0,2,0,2,
13300,3,15.500000,14,2,0,0,0,12,0,2,0,2,
8716,-2,12.000000,13,3,0,2,0,8,0,2,0,2,
7471,1,10.000000,34,1,3,3,5,22,0,0,2,2,
12435,3,16.500000,86,14,12,11,0,49,0,1,0,1,
12436,3,16.500000,86,14,12,11,0,49,0,1,0,1,
12437,3,16.500000,86,14,12,11,0,49,0,1,0,1,
12438,3,16.500000,86,14,12,11,0,49,0,1,0,1,
12439,3,16.500000,86,14,12,11,0,49,0,1,0,1,
12440,3,16.500000,86,14,12,11,0,49,0,1,0,1,
12441,3,16.500000,86,14,12,11,0,49,0,1,0,1,
12442,3,16.500000,86,14,12,11,0,49,0,1,0,1,
12401,3,10.500000,11,2,2,1,0,6,0,1,0,1,
12190,3,6.500000,322,40,28,55,8,191,0,1,0,1,
12262,3,6.500000,328,48,28,53,8,191,0,1,0,1,
12471,3,14.500000,11,2,2,1,0,6,0,1,0,1,
12390,3,9.500000,11,2,2,1,0,6,0,1,0,1,
11718,3,18.500000,84,12,12,11,0,49,0,1,0,1,
11719,3,18.500000,84,12,12,11,0,49,0,1,0,1,
11720,3,18.500000,84,12,12,11,0,49,0,1,0,1,
11721,3,18.500000,84,12,12,11,0,49,0,1,0,1,
11723,3,18.500000,84,12,12,11,0,49,0,1,0,1,
12062,3,19.500000,7,1,0,1,0,5,0,0,1,1,
12063,3,19.500000,7,1,0,1,0,5,0,0,1,1,
12064,3,19.500000,7,1,0,1,0,5,0,0,1,1,
12065,3,19.500000,7,1,0,1,0,5,0,0,1,1,
12066,3,19.500000,7,1,0,1,0,5,0,0,1,1,
12067,3,19.500000,7,1,0,1,0,5,0,0,1,1,
12068,3,19.500000,7,1,0,1,0,5,0,0,1,1,
12069,3,19.500000,7,1,0,1,0,5,0,0,1,1,
7344,1,4.000000,5,0,0,1,0,4,0,0,1,1,
12467,3,13.500000,11,2,2,1,0,6,0,1,0,1,
12369,3,7.500000,10,1,0,1,0,8,0,1,0,1,
12379,3,8.500000,11,2,2,1,0,6,0,1,0,1,
12387,3,9.500000,11,2,2,1,0,6,0,1,0,1,
11097,3,9.500000,10,1,0,1,0,8,0,1,0,1,
11098,3,9.500000,10,1,0,1,0,8,0,1,0,1,
11099,3,9.500000,10,1,0,1,0,8,0,1,0,1,
12376,3,8.500000,10,2,2,2,0,4,0,1,0,1,
6356,2,4.000000,13,1,5,3,0,4,0,1,0,1,
7377,1,7.000000,5,0,0,1,0,4,0,0,1,1,
12356,3,7.500000,10,2,2,2,0,4,0,1,0,1,
11171,3,9.500000,10,1,0,1,0,8,0,1,0,1,
8754,-2,19.000000,85,13,12,11,0,49,0,0,1,1,
8756,-2,19.000000,85,13,12,11,0,49,0,0,1,1,
8768,-2,19.000000,85,13,12,11,0,49,0,0,1,1,
8698,-2,7.000000,5,0,1,0,0,4,0,1,0,1,
8701,-2,7.000000,5,0,1,0,0,4,0,1,0,1,
6380,2,5.000000,11,1,5,1,0,4,0,1,0,1,
7336,1,5.000000,6,1,0,1,0,4,0,0,1,1,
12078,3,19.500000,7,1,0,1,0,5,0,0,1,1,
12079,3,19.500000,7,1,0,1,0,5,0,0,1,1,
12080,3,19.500000,7,1,0,1,0,5,0,0,1,1,
12081,3,19.500000,7,1,0,1,0,5,0,0,1,1,
12082,3,19.500000,7,1,0,1,0,5,0,0,1,1,
12083,3,19.500000,7,1,0,1,0,5,0,0,1,1,
12084,3,19.500000,7,1,0,1,0,5,0,0,1,1,
12085,3,19.500000,7,1,0,1,0,5,0,0,1,1,
6555,2,5.000000,5,1,0,0,0,4,0,1,0,1,
7322,1,2.000000,5,0,0,0,1,4,0,0,1,1,
7324,1,2.000000,5,0,0,0,1,4,0,0,1,1,
6377,2,5.000000,11,1,5,1,0,4,0,1,0,1,
6365,2,4.000000,12,2,5,1,0,4,0,1,0,1,
7326,1,2.000000,18,2,2,5,1,8,0,0,1,1,
12030,3,19.500000,7,1,0,1,0,5,0,0,1,1,
12031,3,19.500000,7,1,0,1,0,5,0,0,1,1,
12032,3,19.500000,7,1,0,1,0,5,0,0,1,1,
12033,3,19.500000,7,1,0,1,0,5,0,0,1,1,
12034,3,19.500000,7,1,0,1,0,5,0,0,1,1,
12035,3,19.500000,7,1,0,1,0,5,0,0,1,1,
12036,3,19.500000,7,1,0,1,0,5,0,0,1,1,
12037,3,19.500000,7,1,0,1,0,5,0,0,1,1,
12046,3,19.500000,7,1,0,1,0,5,0,0,1,1,
12047,3,19.500000,7,1,0,1,0,5,0,0,1,1,
12048,3,19.500000,7,1,0,1,0,5,0,0,1,1,
12049,3,19.500000,7,1,0,1,0,5,0,0,1,1,
12050,3,19.500000,7,1,0,1,0,5,0,0,1,1,
12051,3,19.500000,7,1,0,1,0,5,0,0,1,1,
12052,3,19.500000,7,1,0,1,0,5,0,0,1,1,
12053,3,19.500000,7,1,0,1,0,5,0,0,1,1,
6548,2,5.000000,5,1,0,0,0,4,0,1,0,1,
11513,3,13.500000,5,0,0,0,1,4,0,0,1,1,
6811,2,13.000000,12,2,0,2,0,8,0,1,0,1,
6374,2,4.000000,11,1,5,1,0,4,0,1,0,1,
6541,2,5.000000,5,1,0,0,0,4,0,1,0,1,
6368,2,5.000000,10,0,5,1,0,4,0,1,0,1,
