line,type,level,gate_num,and,nand,or,nor,not,xor,fixed_0,fixed_1,non_fixed
7041,2,2.000000,15,4,0,1,1,9,0,4,0,4,
7028,2,2.000000,15,4,0,1,1,9,0,4,0,4,
7032,2,2.000000,200,52,12,19,1,116,0,24,0,24,
7024,2,2.000000,32,6,8,2,0,16,0,6,0,6,
7039,2,2.000000,32,6,8,2,0,16,0,6,0,6,
7023,2,2.000000,6,2,0,0,0,4,0,2,0,2,
7034,2,2.000000,199,51,12,19,1,116,0,23,0,23,
7035,2,2.000000,56,15,8,4,0,29,0,6,0,6,
9497,-1,2.000000,13,3,0,1,1,8,0,0,3,3,
8660,1,2.000000,42,5,8,7,1,21,0,0,2,2,
7036,2,2.000000,121,14,32,0,0,75,0,23,0,23,
7064,2,3.000000,83,17,24,6,0,36,0,17,0,17,
15284,3,2.500000,17,2,8,0,0,7,0,0,1,1,
15262,3,2.500000,17,2,8,0,0,7,0,0,1,1,
7101,2,4.000000,7,1,0,0,1,5,0,2,0,2,
15347,3,3.500000,226,46,33,22,0,125,0,0,8,8,
15366,3,3.500000,214,44,28,21,0,121,0,0,5,5,
8665,1,3.000000,563,151,36,75,0,301,0,0,42,42,
7050,2,3.000000,224,50,52,29,0,93,0,13,0,13,
7087,2,3.000000,236,52,57,30,0,97,0,13,0,13,
9572,-1,3.000000,142,28,1,10,2,101,0,0,2,2,
9579,-1,3.000000,81,9,5,1,2,64,0,0,2,2,
9566,-1,3.000000,73,9,1,1,2,60,0,0,2,2,
7284,2,5.000000,63,7,16,0,0,40,0,11,0,11,
10349,-2,5.000000,35,3,8,2,0,22,0,2,0,2,
10336,-2,5.000000,58,5,24,5,0,24,0,2,0,2,
14215,3,4.500000,13,1,2,0,0,10,0,1,0,1,
14177,3,4.500000,6,1,0,1,0,4,0,1,0,1,
14176,3,4.500000,6,1,0,1,0,4,0,1,0,1,
14175,3,4.500000,6,1,0,1,0,4,0,1,0,1,
14174,3,4.500000,6,1,0,1,0,4,0,1,0,1,
14178,3,4.500000,6,1,0,1,0,4,0,1,0,1,
7085,2,4.000000,271,65,0,34,0,172,0,5,2,3,
10345,-2,5.000000,35,3,8,2,0,22,0,2,0,2,
10347,-2,5.000000,35,3,8,2,0,22,0,2,0,2,
10348,-2,5.000000,35,3,8,2,0,22,0,2,0,2,
10351,-2,5.000000,35,3,8,2,0,22,0,2,0,2,
10352,-2,5.000000,18,1,4,1,0,12,0,2,0,2,
10340,-2,5.000000,46,5,12,5,0,24,0,2,0,2,
10335,-2,5.000000,58,5,24,5,0,24,0,2,0,2,
10339,-2,5.000000,58,5,24,5,0,24,0,2,0,2,
7203,2,5.000000,404,88,74,44,1,197,0,19,6,13,
8671,1,6.000000,127,33,0,13,1,80,0,0,1,1,
8674,1,5.000000,129,34,0,14,1,80,0,0,2,2,
7081,2,4.000000,17,3,0,0,1,13,0,4,0,4,
15409,3,4.500000,215,45,43,28,0,99,0,0,1,1,
10341,-2,6.000000,11,1,4,0,0,6,0,2,0,2,
10334,-2,5.000000,58,5,24,5,0,24,0,2,0,2,
10332,-2,5.000000,58,5,24,5,0,24,0,2,0,2,
7313,2,6.000000,425,91,79,46,1,208,0,20,8,12,
10337,-2,5.000000,58,5,24,5,0,24,0,2,0,2,
10333,-2,5.000000,58,5,24,5,0,24,0,2,0,2,
10343,-2,5.000000,26,1,12,1,0,12,0,2,0,2,
10344,-2,5.000000,18,1,4,1,0,12,0,2,0,2,
10346,-2,5.000000,35,3,8,2,0,22,0,2,0,2,
10350,-2,5.000000,35,3,8,2,0,22,0,2,0,2,
7543,2,7.000000,180,34,36,17,0,93,0,5,0,5,
10354,-2,5.000000,58,5,24,5,0,24,0,2,0,2,
7095,2,6.000000,136,33,0,17,0,86,0,3,1,2,
14342,3,7.500000,13,1,2,0,0,10,0,1,0,1,
14358,3,8.500000,13,1,2,0,0,10,0,1,0,1,
14353,3,8.500000,11,2,2,1,0,6,0,1,0,1,
14362,3,8.500000,171,29,33,12,0,97,0,2,0,2,
14366,3,9.500000,7,0,2,0,0,5,0,1,0,1,
8774,1,9.000000,9,1,1,1,0,6,0,1,0,1,
7547,2,9.000000,7,1,0,0,0,6,0,1,0,1,
15879,3,11.500000,36,3,5,0,0,28,0,1,0,1,
15623,3,11.500000,9,1,2,0,0,6,0,1,0,1,
10361,-2,11.000000,43,4,5,0,0,34,0,1,0,1,
8911,1,13.000000,12,2,4,2,0,4,0,2,0,2,
7544,2,12.000000,16,3,5,2,0,6,0,2,0,2,
10056,-1,14.000000,14,1,6,0,0,7,0,0,1,1,
14379,3,13.500000,27,2,11,0,0,14,0,1,0,1,
14383,3,13.500000,25,2,11,0,0,12,0,1,0,1,
10050,-1,14.000000,53,5,22,1,0,25,0,0,5,5,
15891,3,13.500000,31,4,1,0,0,26,0,1,0,1,
9951,-1,15.000000,15,4,0,0,0,11,0,0,4,4,
9953,-1,16.000000,2115,385,176,264,82,1208,0,0,26,26,
9954,-1,16.000000,2079,368,176,257,81,1197,0,0,18,18,
9955,-1,16.000000,2015,334,176,241,67,1197,0,0,6,6,
9956,-1,16.000000,2007,334,176,233,67,1197,0,0,6,6,
9957,-1,16.000000,1900,328,167,209,61,1135,0,0,9,9,
9958,-1,16.000000,1998,337,176,219,66,1200,0,0,11,11,
9961,-1,16.000000,251,56,16,27,9,143,0,0,6,6,
9962,-1,16.000000,1488,259,129,177,42,881,0,0,7,7,
9963,-1,16.000000,1488,259,129,177,42,881,0,0,7,7,
9964,-1,16.000000,2014,344,176,227,59,1208,0,0,8,8,
9966,-1,16.000000,2152,384,176,283,84,1225,0,0,24,24,
9967,-1,16.000000,2106,374,176,276,83,1197,0,0,22,22,
10102,-1,17.000000,11,1,4,0,0,6,0,2,0,2,
7805,2,18.000000,9,2,1,2,0,4,0,1,0,1,
8968,1,20.000000,185,27,0,18,0,140,0,9,27,18,
