line,type,level,gate_num,fixed_0,fixed_1,cop0,cop1,c
16192,2,5.000000,562,96.000000,0.000000,0.996079,0.003921,-47.623573,
21674,-2,3.000000,213,52.000000,0.000000,0.981107,0.018893,-25.017570,
19653,-1,3.000000,267,0.000000,31.000000,0.008095,0.991905,-15.249059,
15770,2,4.000000,503,24.000000,0.000000,0.998841,0.001159,-11.972189,
22366,-2,12.000000,413,13.000000,0.000000,0.999939,0.000061,-6.499209,
22368,-2,12.000000,413,13.000000,0.000000,0.999939,0.000061,-6.499209,
22362,-2,12.000000,413,13.000000,0.000000,0.999939,0.000061,-6.499206,
22363,-2,12.000000,413,13.000000,0.000000,0.999939,0.000061,-6.499206,
15578,2,5.000000,216,14.000000,0.000000,0.991582,0.008418,-6.882147,
22090,-2,7.000000,83,13.000000,1.000000,0.993111,0.006889,-5.917336,
22092,-2,7.000000,83,13.000000,1.000000,0.993111,0.006889,-5.917336,
22094,-2,7.000000,83,13.000000,1.000000,0.993111,0.006889,-5.917336,
15617,2,5.000000,216,14.000000,0.000000,0.991582,0.008418,-6.882147,
15664,2,5.000000,216,14.000000,0.000000,0.990059,0.009941,-6.860833,
15718,2,5.000000,216,14.000000,0.000000,0.990059,0.009941,-6.860833,
22096,-2,7.000000,83,13.000000,1.000000,0.993111,0.006889,-5.917336,
23050,-2,17.000000,224,15.000000,1.000000,0.982994,0.017006,-6.761921,
23051,-2,17.000000,224,15.000000,1.000000,0.982994,0.017006,-6.761921,
23045,-2,17.000000,224,15.000000,1.000000,0.982942,0.017058,-6.761194,
23048,-2,17.000000,224,15.000000,1.000000,0.982942,0.017058,-6.761194,
22369,-2,11.000000,95,15.000000,1.000000,0.937800,0.062200,-6.129206,
22371,-2,11.000000,95,15.000000,1.000000,0.937800,0.062200,-6.129206,
22373,-2,11.000000,95,15.000000,1.000000,0.937800,0.062200,-6.129206,
22374,-2,11.000000,95,15.000000,1.000000,0.937800,0.062200,-6.129206,
16190,2,3.000000,89,10.000000,0.000000,0.994168,0.005832,-4.941683,
38159,3,16.500000,247,6.000000,0.000000,0.999996,0.000004,-2.999974,
38163,3,16.500000,247,6.000000,0.000000,0.999996,0.000004,-2.999974,
38148,3,16.500000,247,6.000000,0.000000,0.999996,0.000004,-2.999973,
38155,3,16.500000,247,6.000000,0.000000,0.999996,0.000004,-2.999973,
22861,-2,15.000000,289,0.000000,7.000000,0.000026,0.999974,-3.499818,
22863,-2,15.000000,289,0.000000,7.000000,0.000026,0.999974,-3.499818,
22858,-2,15.000000,289,0.000000,7.000000,0.000026,0.999974,-3.499815,
22859,-2,15.000000,289,0.000000,7.000000,0.000026,0.999974,-3.499815,
17339,2,9.000000,304,5.000000,0.000000,0.999082,0.000918,-2.495411,
17363,2,9.000000,304,5.000000,0.000000,0.999082,0.000918,-2.495411,
17272,2,9.000000,304,5.000000,0.000000,0.999070,0.000930,-2.495349,
17308,2,9.000000,304,5.000000,0.000000,0.999070,0.000930,-2.495349,
22166,-2,7.000000,35,5.000000,1.000000,0.995477,0.004523,-1.981908,
20011,-1,6.000000,100,0.000000,3.000000,0.004024,0.995976,-1.487927,
22161,-2,7.000000,35,5.000000,1.000000,0.992151,0.007849,-1.968605,
22702,-2,11.000000,34,3.000000,1.000000,0.970206,0.029794,-0.940412,
16161,2,4.000000,19,4.000000,0.000000,0.908250,0.091750,-1.633000,
23026,-2,18.000000,28,3.000000,0.000000,0.969526,0.030474,-1.408578,
19491,1,11.000000,113,0.000000,2.000000,0.008389,0.991611,-0.983222,
19495,1,11.000000,113,0.000000,2.000000,0.008389,0.991611,-0.983222,
35606,3,21.500000,23,1.000000,0.000000,0.999932,0.000068,-0.499932,
