line,type,level,gate_num,and,nand,or,nor,not,xor,fixed_0,fixed_1,non_fixed
16107,2,3.000000,563,97,48,0,48,370,0,97,0,97,
16192,2,5.000000,562,96,48,0,48,370,0,96,0,96,
21674,-2,3.000000,213,48,15,4,15,131,0,52,0,52,
19653,-1,3.000000,267,35,7,8,11,206,0,0,31,31,
15769,2,3.000000,504,86,3,0,85,330,0,25,0,25,
21377,-1,16.000000,252,54,3,0,50,145,0,1,17,16,
21378,-1,16.000000,252,54,3,0,50,145,0,1,17,16,
21375,-1,16.000000,252,54,3,0,50,145,0,1,17,16,
21376,-1,16.000000,252,54,3,0,50,145,0,1,17,16,
21928,-2,5.000000,107,18,4,0,22,63,0,17,1,16,
21936,-2,5.000000,107,18,4,0,22,63,0,17,1,16,
21943,-2,5.000000,107,18,4,0,22,63,0,17,1,16,
21950,-2,5.000000,107,18,4,0,22,63,0,17,1,16,
19458,1,10.000000,415,87,12,3,72,241,0,0,15,15,
19466,1,10.000000,415,87,12,3,72,241,0,0,15,15,
19439,1,10.000000,415,87,12,3,72,241,0,0,15,15,
19449,1,10.000000,415,87,12,3,72,241,0,0,15,15,
15576,2,4.000000,217,40,33,2,39,103,0,15,0,15,
15615,2,4.000000,217,40,33,2,39,103,0,15,0,15,
15662,2,4.000000,217,40,33,2,39,103,0,15,0,15,
15716,2,4.000000,217,40,33,2,39,103,0,15,0,15,
22369,-2,11.000000,95,16,4,0,19,56,0,15,1,14,
22371,-2,11.000000,95,16,4,0,19,56,0,15,1,14,
22373,-2,11.000000,95,16,4,0,19,56,0,15,1,14,
22374,-2,11.000000,95,16,4,0,19,56,0,15,1,14,
16190,2,3.000000,89,11,4,0,16,58,0,10,0,10,
37972,3,12.500000,406,83,11,2,70,240,0,9,0,9,
37974,3,12.500000,406,83,11,2,70,240,0,9,0,9,
37968,3,12.500000,406,83,11,2,70,240,0,9,0,9,
37970,3,12.500000,406,83,11,2,70,240,0,9,0,9,
38159,3,16.500000,247,50,5,1,45,146,0,6,0,6,
38163,3,16.500000,247,50,5,1,45,146,0,6,0,6,
38148,3,16.500000,247,50,5,1,45,146,0,6,0,6,
38155,3,16.500000,247,50,5,1,45,146,0,6,0,6,
17338,2,8.000000,305,65,7,3,47,183,0,6,0,6,
17362,2,8.000000,305,65,7,3,47,183,0,6,0,6,
17271,2,8.000000,305,65,7,3,47,183,0,6,0,6,
17307,2,8.000000,305,65,7,3,47,183,0,6,0,6,
20095,-1,6.000000,47,8,1,0,10,28,0,1,7,6,
20612,-1,6.000000,47,8,1,0,10,28,0,1,7,6,
38074,3,11.500000,24,4,1,0,5,14,0,4,0,4,
38080,3,11.500000,24,4,1,0,5,14,0,4,0,4,
38086,3,11.500000,24,4,1,0,5,14,0,4,0,4,
38092,3,11.500000,24,4,1,0,5,14,0,4,0,4,
23275,-2,18.000000,19,3,0,0,4,12,0,0,4,4,
23281,-2,18.000000,19,3,0,0,4,12,0,0,4,4,
23285,-2,18.000000,19,3,0,0,4,12,0,0,4,4,
23292,-2,18.000000,19,3,0,0,4,12,0,0,4,4,
16161,2,4.000000,19,4,0,0,3,12,0,4,0,4,
16165,2,4.000000,19,4,0,0,3,12,0,4,0,4,
16169,2,4.000000,19,4,0,0,3,12,0,4,0,4,
16173,2,4.000000,19,4,0,0,3,12,0,4,0,4,
20011,-1,6.000000,100,9,0,3,3,85,0,0,3,3,
23026,-2,18.000000,28,3,12,0,3,10,0,3,0,3,
23023,-2,18.000000,28,3,12,0,3,10,0,3,0,3,
23035,-2,18.000000,28,3,12,0,3,10,0,3,0,3,
23032,-2,18.000000,28,3,12,0,3,10,0,3,0,3,
23833,-2,32.000000,28,3,12,0,3,10,0,3,0,3,
23830,-2,32.000000,28,3,12,0,3,10,0,3,0,3,
23848,-2,32.000000,28,3,12,0,3,10,0,3,0,3,
23841,-2,32.000000,28,3,12,0,3,10,0,3,0,3,
23635,-2,26.000000,28,3,12,0,3,10,0,3,0,3,
23632,-2,26.000000,28,3,12,0,3,10,0,3,0,3,
23650,-2,26.000000,28,3,12,0,3,10,0,3,0,3,
