line,type,level,gate_num,and,nand,or,nor,not,xor,fixed_0,fixed_1,non_fixed
16190,2,3.000000,89,11,4,0,16,58,0,10,0,10,
19653,-1,3.000000,267,35,7,8,11,206,0,0,31,31,
21674,-2,3.000000,213,48,15,4,15,131,0,52,0,52,
16107,2,3.000000,563,97,48,0,48,370,0,97,0,97,
15769,2,3.000000,504,86,3,0,85,330,0,25,0,25,
15578,2,5.000000,216,39,33,2,39,103,0,14,0,14,
15617,2,5.000000,216,39,33,2,39,103,0,14,0,14,
16163,2,5.000000,18,3,0,0,3,12,0,3,0,3,
16167,2,5.000000,18,3,0,0,3,12,0,3,0,3,
15662,2,4.000000,217,40,33,2,39,103,0,15,0,15,
15718,2,5.000000,216,39,33,2,39,103,0,14,0,14,
16171,2,5.000000,18,3,0,0,3,12,0,3,0,3,
16175,2,5.000000,18,3,0,0,3,12,0,3,0,3,
16192,2,5.000000,562,96,48,0,48,370,0,96,0,96,
21928,-2,5.000000,107,18,4,0,22,63,0,17,1,16,
21936,-2,5.000000,107,18,4,0,22,63,0,17,1,16,
21943,-2,5.000000,107,18,4,0,22,63,0,17,1,16,
21950,-2,5.000000,107,18,4,0,22,63,0,17,1,16,
20011,-1,6.000000,100,9,0,3,3,85,0,0,3,3,
20612,-1,6.000000,47,8,1,0,10,28,0,1,7,6,
20056,-1,6.000000,37,3,0,1,1,32,0,0,1,1,
20095,-1,6.000000,47,8,1,0,10,28,0,1,7,6,
17503,2,8.000000,52,12,0,3,10,27,0,1,0,1,
17516,2,8.000000,52,12,0,3,10,27,0,1,0,1,
17524,2,8.000000,52,12,0,3,10,27,0,1,0,1,
17531,2,8.000000,52,12,0,3,10,27,0,1,0,1,
37854,3,7.500000,10,0,2,1,0,7,0,1,0,1,
37856,3,7.500000,10,0,2,1,0,7,0,1,0,1,
37848,3,7.500000,10,0,2,1,0,7,0,1,0,1,
37852,3,7.500000,10,0,2,1,0,7,0,1,0,1,
17378,2,8.000000,203,25,85,0,35,58,0,2,0,2,
17360,2,8.000000,203,25,85,0,35,58,0,2,0,2,
17336,2,8.000000,203,25,85,0,35,58,0,2,0,2,
17305,2,8.000000,203,25,85,0,35,58,0,2,0,2,
32364,3,7.500000,7,1,0,0,1,5,0,0,1,1,
32370,3,7.500000,7,1,0,0,1,5,0,0,1,1,
32392,3,7.500000,7,1,0,0,1,5,0,0,1,1,
32420,3,7.500000,7,1,0,0,1,5,0,0,1,1,
32452,3,7.500000,7,1,0,0,1,5,0,0,1,1,
32478,3,7.500000,7,1,0,0,1,5,0,0,1,1,
32502,3,7.500000,7,1,0,0,1,5,0,0,1,1,
32518,3,7.500000,7,1,0,0,1,5,0,0,1,1,
32524,3,7.500000,7,1,0,0,1,5,0,0,1,1,
17339,2,9.000000,304,64,7,3,47,183,0,5,0,5,
32528,3,7.500000,7,1,0,0,1,5,0,0,1,1,
32534,3,7.500000,7,1,0,0,1,5,0,0,1,1,
32312,3,7.500000,7,1,0,0,1,5,0,0,1,1,
32318,3,7.500000,7,1,0,0,1,5,0,0,1,1,
17363,2,9.000000,304,64,7,3,47,183,0,5,0,5,
